"","log2Fold","Pvalue","Symbol"
"134",1.098738121,0,"SPINK1"
"135",1.097690341,4.45e-41,"LAMC2"
"136",1.097434151,1.31e-07,"MANEAL"
"137",1.091630475,7.41e-06,"FAM47E"
"138",1.085518071,9.71e-09,"IP6K3"
"139",1.077424972,1.1e-18,"NCOA7"
"140",1.075627705,4.47e-05,"RFC4"
"141",1.073462162,8.46e-24,"TUBA1A"
"142",1.073020157,9.36e-27,"TOMM5"
"143",1.069966931,3.35e-07,"ZNF593"
"144",1.067638717,1.89e-07,"MTHFD1L"
"145",1.067584076,2.73e-11,"PDCD5"
"146",1.054378208,5.17e-14,"SQOR"
"147",1.052770475,1e-11,"NCEH1"
"148",1.051138849,2.1e-11,"FAM156B"
"149",1.041268018,1.17e-09,"EMG1"
"150",1.040438544,2.95e-23,"KRT6A"
"151",1.03942035,5.62e-12,"ODF2"
"152",1.03593946,9.22e-57,"HSPB1"
"153",1.033516108,1.31e-24,"SEC61G"
"154",1.028077775,5.91e-14,"TSTA3"
"155",1.022281447,1.08e-12,"ETS1"
"156",1.021826362,2.02e-16,"NPC1L1"
"157",1.019443624,3.04e-28,"TOMM6"
"158",1.019330727,1.26e-13,"DUSP5"
"159",1.016638246,1.15e-86,"BHLHE40"
"160",1.011917983,7.72e-64,"RPL36A"
"161",1.007765933,4.02e-239,"PLIN2"
"162",1.007387088,2.57e-10,"HCAR3"
"163",1.000964046,5.01e-15,"MTHFD2"
"164",-8.247927513,1.44e-09,"SMIM11A"
"165",-8.21916852,2.53e-19,"SERF1A"
"166",-8.016808288,3.37e-24,"PLA2G4B"
"167",-7.64385619,2.66e-05,"BGLAP"
"168",-7.62935662,3.85e-14,"TBC1D3K"
"169",-7.087462841,3.45e-17,"CORO7-PAM16"
"170",-6.95419631,2.38e-08,"FAM156A"
"171",-6.599912842,7.95e-07,"P2RY11"
"172",-6.375039431,1.6e-06,"MINOS1-NBL1"
"173",-6.303780748,1.06e-11,"PHOSPHO2-KLHL23"
"174",-5.930737338,1.32e-05,"TMEFF1"
"175",-5.357552005,2.66e-05,"TBX2"
"176",-4.459431619,0.000126059,"EVPL"
"177",-4,2.66e-05,"SCN2A"
"178",-3.602036014,2.46e-06,"CYP1A1"
"179",-3.57634937,1.45e-08,"SFRP2"
"180",-3.156504486,5.05e-08,"GLYAT"
"181",-3.152003093,0.000103433,"ITLN2"
"182",-2.632268215,3.12e-05,"CSPG4"
"183",-2.523561956,9.98e-33,"SERTM2"
"184",-2.50779464,7.34e-23,"PTGS1"
"185",-2.38466385,1.94e-05,"CPAMD8"
"186",-2.359895945,2.11e-15,"TFEC"
"187",-2.321928095,3.13e-07,"DGKK"
"188",-2.292781749,5.63e-05,"ISL1"
"189",-2.290677161,6.28e-49,"NEB"
"190",-2.275322857,8.19e-116,"CYP7A1"
"191",-2.252387162,7.1e-06,"SUCNR1"
"192",-2.2410081,4.41e-05,"GUCY1A1"
"193",-2.169925001,5.05e-07,"MUC16"
"194",-2.160822794,5.41e-07,"SFRP5"
"195",-2.153805336,1.17e-07,"RTL9"
"196",-2.129283017,9.53e-05,"IRX1"
"197",-2.047305715,4.18e-17,"OTC"
"198",-2.034488376,3.36e-05,"SLC5A11"
"199",-2.031848866,3.99e-12,"SCML4"
"200",-2.029747343,1.39e-07,"TIAM1"
"201",-2.004676487,1.07e-07,"IL34"
"202",-2,5.09e-07,"UNC5C"
"203",-1.98772167,8.54e-09,"ADH1B"
"204",-1.969626351,2.43e-06,"DOK6"
"205",-1.953233573,8.78e-168,"GSTA1"
"206",-1.903850141,3.52e-44,"PTCD1"
"207",-1.90303827,2.23e-09,"EDNRA"
"208",-1.874469118,4.41e-05,"KCNJ2"
"209",-1.855329252,4.85e-22,"HSD17B6"
"210",-1.844008804,1.35e-45,"FETUB"
"211",-1.748660928,6.58e-46,"HRG"
"212",-1.744588835,1.67e-12,"GBA3"
"213",-1.736965594,0.000111573,"KIAA1024"
"214",-1.724026538,2.54e-07,"CLRN3"
"215",-1.716207034,8.58e-12,"COL14A1"
"216",-1.715161224,2.54e-07,"FAM222A"
"217",-1.714091128,1.27e-32,"REEP1"
"218",-1.709141912,3.2e-12,"FAM151A"
"219",-1.706316284,2.81e-77,"PARM1"
"220",-1.705256734,3.57e-05,"GCOM1"
"221",-1.700439718,6.91e-07,"GAS1"
"222",-1.622632919,4.79e-09,"COL8A2"
"223",-1.61233894,4.44e-08,"SLC16A10"
"224",-1.608373887,9.89e-11,"FMO1"
"225",-1.584962501,9.93e-05,"CUBN"
"226",-1.578419655,1.83e-12,"SCNM1"
"227",-1.5776577,3.29e-05,"UGT1A1"
"228",-1.57627154,2.09e-06,"CXCL12"
"229",-1.566436467,1.55e-40,"GRAMD1B"
"230",-1.542527234,1.61e-05,"ATP13A4"
"231",-1.530126635,2.77e-34,"SLIT3"
"232",-1.507706069,2.64e-22,"INMT"
"233",-1.506790887,2.82e-11,"AQP1"
"234",-1.504761618,0,"CPS1"
"235",-1.504042505,0.000102824,"IRX2"
"236",-1.497905766,1.96e-05,"GPER1"
"237",-1.49410907,2.7e-05,"KCND3"
"238",-1.493694443,4.42e-10,"REC8"
"239",-1.478047297,8.98e-26,"ECM2"
"240",-1.478047297,2.7e-05,"NAALADL1"
"241",-1.451211112,2.02e-36,"COL1A2"
"242",-1.438442104,8.26e-15,"AGXT2"
"243",-1.429744702,0,"CDKN1C"
"244",-1.429279422,1.16e-09,"PALM3"
"245",-1.413826677,3.23e-09,"HHLA2"
"246",-1.410088283,9.52e-23,"SCUBE3"
"247",-1.403792742,3.57e-08,"ADRA1A"
"248",-1.39132143,7.22e-07,"PDZRN3"
"249",-1.382087077,3.09e-98,"SLC5A3"
"250",-1.378511623,9.24e-05,"TENM4"
"251",-1.36923381,1.16e-06,"C15orf62"
"252",-1.36923381,4.29e-05,"SOX11"
"253",-1.365214801,3.54e-18,"PGF"
"254",-1.359081093,0.000130989,"GLI3"
"255",-1.336525471,2.01e-18,"P2RY2"
"256",-1.335703474,5.47e-38,"TNXB"
"257",-1.331059107,5.98e-11,"CYP19A1"
"258",-1.330645312,3.92e-06,"EPHA10"
"259",-1.327228879,6.09e-12,"NCMAP"
"260",-1.325027334,5.89e-10,"COL17A1"
"261",-1.321539699,1.03e-17,"PGC"
"262",-1.318753847,2.96e-26,"BMP8A"
"263",-1.314635602,3.34e-35,"SOX6"
"264",-1.310787537,1.26e-11,"SVEP1"
"265",-1.29235498,2.28e-100,"COL1A1"
"266",-1.282730207,1.25e-09,"COL16A1"
"267",-1.282356359,6.83e-49,"DIO1"
"268",-1.265142069,6.3e-06,"PCYT1B"
"269",-1.264703226,3.42e-71,"AGFG2"
"270",-1.261386553,3.05e-08,"SPIB"
"271",-1.261124816,1.81e-06,"DBH"
"272",-1.260764232,1.26e-06,"TMEM169"
"273",-1.243925583,0.000163284,"SLC1A2"
"274",-1.24197279,3.32e-21,"PPM1H"
"275",-1.237039197,5.29e-06,"KCNH6"
"276",-1.232834168,4.35e-09,"RASL10B"
"277",-1.228027956,1.38e-17,"FREM2"
"278",-1.227535725,1.01e-18,"SPTBN2"
"279",-1.214334902,2.63e-67,"GABRP"
"280",-1.209574078,1.52e-10,"DPYS"
"281",-1.208108195,1.5e-07,"PCDH11Y"
"282",-1.203027096,2.54e-06,"HAND1"
"283",-1.201870097,1.03e-171,"IGFBP5"
"284",-1.195787065,3.8e-05,"SEMA3F"
