log2Fold,Pvalue,Symbol
-7.62935662,3.85E-14,TBC1D3K
-7.087462841,3.45E-17,CORO7-PAM16
-6.95419631,2.38E-08,FAM156A
-6.599912842,7.95E-07,P2RY11
-6.375039431,1.60E-06,MINOS1-NBL1
-6.303780748,1.06E-11,PHOSPHO2-KLHL23
-5.930737338,1.32E-05,TMEFF1
-5.357552005,2.66E-05,TBX2
-4.459431619,0.000126059,EVPL
-4,2.66E-05,SCN2A
-3.602036014,2.46E-06,CYP1A1
-3.57634937,1.45E-08,SFRP2
-3.156504486,5.05E-08,GLYAT
-3.152003093,0.000103433,ITLN2
-2.632268215,3.12E-05,CSPG4
-2.523561956,9.98E-33,SERTM2
-2.50779464,7.34E-23,PTGS1
-2.38466385,1.94E-05,CPAMD8
-2.359895945,2.11E-15,TFEC
-2.321928095,3.13E-07,DGKK
-2.292781749,5.63E-05,ISL1
-2.290677161,6.28E-49,NEB
-2.275322857,8.19E-116,CYP7A1
-2.252387162,7.10E-06,SUCNR1
-2.2410081,4.41E-05,GUCY1A1
-2.169925001,5.05E-07,MUC16
-2.160822794,5.41E-07,SFRP5
-2.153805336,1.17E-07,RTL9
-2.129283017,9.53E-05,IRX1
-2.047305715,4.18E-17,OTC
-2.034488376,3.36E-05,SLC5A11
-2.031848866,3.99E-12,SCML4
-2.029747343,1.39E-07,TIAM1
-2.004676487,1.07E-07,IL34
-2,5.09E-07,UNC5C
-1.98772167,8.54E-09,ADH1B
-1.969626351,2.43E-06,DOK6
-1.953233573,8.78E-168,GSTA1
-1.903850141,3.52E-44,PTCD1
-1.90303827,2.23E-09,EDNRA
-1.874469118,4.41E-05,KCNJ2
-1.855329252,4.85E-22,HSD17B6
-1.844008804,1.35E-45,FETUB
-1.748660928,6.58E-46,HRG
-1.744588835,1.67E-12,GBA3
-1.736965594,0.000111573,KIAA1024
-1.724026538,2.54E-07,CLRN3
-1.716207034,8.58E-12,COL14A1
-1.715161224,2.54E-07,FAM222A
-1.714091128,1.27E-32,REEP1
-1.709141912,3.20E-12,FAM151A
-1.706316284,2.81E-77,PARM1
-1.705256734,3.57E-05,GCOM1
-1.700439718,6.91E-07,GAS1
-1.622632919,4.79E-09,COL8A2
-1.61233894,4.44E-08,SLC16A10
-1.608373887,9.89E-11,FMO1
-1.584962501,9.93E-05,CUBN
-1.578419655,1.83E-12,SCNM1
-1.5776577,3.29E-05,UGT1A1
-1.57627154,2.09E-06,CXCL12
-1.566436467,1.55E-40,GRAMD1B
-1.542527234,1.61E-05,ATP13A4
-1.530126635,2.77E-34,SLIT3
-1.507706069,2.64E-22,INMT
-1.506790887,2.82E-11,AQP1
-1.504761618,0,CPS1
-1.504042505,0.000102824,IRX2
-1.497905766,1.96E-05,GPER1
-1.49410907,2.70E-05,KCND3
-1.493694443,4.42E-10,REC8
-1.478047297,8.98E-26,ECM2
-1.478047297,2.70E-05,NAALADL1
-1.451211112,2.02E-36,COL1A2
-1.438442104,8.26E-15,AGXT2
-1.429744702,0,CDKN1C
