GPC3
ATP9A
MT1E
TMSB4X
MPZL1
HKDC1
ADHFE1
APOF
TXN
AJUBA
SPECC1
C3P1
SLC1A1
LINC01554
DCN
RBM10
MCM6
BSG
IL32
CXCL9
ATP1A1
SYPL1
ALDOA
MCM4
SYAP1
CXCL12
SLC16A10
PAPD7
TOP2A
VPS45
RGS5
UBD
KDELR3
GSTA3
MRAS
RTN1
SOX9
FAM213B
KCNAB1
PIGR
ROBO1
ADCY7
HIST1H2AC
AMT
PTPRD
NUSAP1
MCM10
LPL
HORMAD2
PRKAA2
PBK
CCS
VSIG10
H2AFY
CDKN3
GNMT
SEC31A
ARF3
STAT1
ITGB5
TERF2IP
TXNRD1
MARCKS
TUBG1
LUM
RNASE1
EPCAM
COL3A1
MVP
DKK3
COL1A2
IGSF3
NFX1
TYMS
RFX5
CAPN6
STMN2
ABCC4
CA12
FABP4
ZWINT
RAD51AP1
MRPL57
PPIC
WDHD1
CNKSR1
GCAT
FES
VIL1
WDR76
ITGAM
COL10A1
ASPA
AKR1B10
GRTP1
PZP
SFRP5
FCN2
CD24
QRICH1
PEG3
ENPP2
MOXD1
ITCH
PMEL
SPP1
FUT4
FAP
CCL19
MR1
RORA
CCL23
CDH6
TP53I3
AQP4
ST3GAL6
PTGDS
TNIK
TPGS2
GNG12
SEL1L3
COL5A1
LYPD1
TUSC3
CAV2
LAMA2
OIP5
PARVA
RND2
BCAT1
DUSP10
CYP2C19
MT1M
RCL1
DTL
CENPU
DNAJC12
LYVE1
TIGAR
CNTNAP2
DHRS9
EHF
XPNPEP3
KCNN2
CATSPERB
ELMO2
ITM2C
LBH
APOL3
KIF18A
NCK2
FXYD2
BNIP3L
ADAMTSL2
ERN1
EPB41L4A
MYO19
ZRANB1
CSTB
MND1
ANXA13
HELLS
CXCL6
FAT1
PCOLCE2
LAMA3
ADCY10
ENPP5
ISLR
GUCY1A3
CENPV
VTCN1
CLEC4G
SLFN5
RAB11FIP5
MANBAL
FMC1
ERICH5
COL6A2
FAM129B
SLC35G1
DOCK8
EGFLAM
CLIC6
NSF
FBLIM1
ACLY
SLC44A3
SLC34A2
CHST9
YWHAH
CCDC146
SLC25A18
KCNAB2
PCBP4
FAM3B
LRRC57
SULF2
TCEAL9
CERCAM
FBL
UBE2T
FCAMR
CBLN3
MSI2
CFD
UHRF1
LRRN1
ILDR1
ZMAT3
TENM3
MAP1B
CENPK
ASPG
MT1A
DOK6
DEPDC1B
SCML4
AGTR1
PPARA
APOE
SLC27A5
ENPP1
NR1H4
FDFT1
STAT3
CYP2E1
LEPR
GCKR
SAMM50
ABCB11
CD14
SERPINE1
APOC3
NR1I2
GCLC
SOD2
CNR1
HFE
IL6
CHUK
SREBF2
CHDH
PPARGC1A
IL1B
MBOAT7
TNF
SPINK1
SREBF1
LOXL1
CLOCK
NCAN
MTHFR
ADIPOQ
UCP3
COL13A1
OLR1
MERTK
LPIN1
TCF7L2
PARVB
TM6SF2
MIF
PNPLA3
TGFB1
IL1A
ADRB3
SLC2A1
FABP2
TMPRSS6
LTBP3
KLF6
PEMT
IRS1
LYPLAL1
CRACR2A
PPP1R3B
PPARG
TLR4
IFNL3
